Título,Link,Endereço,Especificações,Observações,Preço,Metrô mais próximo,Metrõ mais Rapido,Distancia,Duração
Interative,/propriedades/interative-2944615400.html,"R. José Maria Lisboa, 555, Jardim Paulista, São Paulo",30 m² área total 30 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Próximo á bares, restaurantes, lojas, cafeterias e bancos. Localiza-se perto da Av. 9 de Julho, Av. Paulista, Av. Brigadeiro Luis Antônio, do masp (Museu de Arte de São Paulo), dos shoppings Cidade São Paulo e Top Center, do ponto turístico Mirante 9 de Julho, do Centro Cultural fiesp, dos hospitais Oswaldo Cruz e Beneficência Portuguesa, do Colégio Dante Alighieri e da Universidade Anhembi Morumbi, além de ficar a 10 minutos da estação de metrô Trianon-Masp. O condomínio possui academia, piscina, área de lazer com jardim, sauna, mensageiro, manobrista, tv a cabo e camareira. Estamos à disposição para melhor atendê-lo, ligue sem compromisso e agende uma visita. Creci Ver dados-j",R$ 275.000,Trianon Masp,Trianon Masp,777,777
"Apartamento na Vila Maria, Sp - Boulevard Vila Maria",/propriedades/apartamento-na-vila-maria-sp-boulevard-vila-maria-2926402562.html,"Av. Afonso Vergueiro, 1101, Vila Maria, São Paulo",2 unidades 1 a 3 quartos 39 a 63 m² área útil,"Apartamentos na Vila Maria - São Paulo, com 1, 2 e 3 quartos. Pronto para morar! Esperando por você na Vila Maria. Pronto para Morar, com lazer completo incluindo piscina, churrasqueira, fitness e muito mais. Um projeto feito para você e para a sua família. A intermediação é realizada por Imobiliárias cadastradas, incluindo Evenmob Consultoria de Imóveis Ltda. - creci J-Ver dados, e Evenmob Jardins Consultoria de Imóveis Ltda. - creci J-27137. Qualquer venda estará sujeita ao pagamento do valor correspondente à intermediação imobiliária e as respectivas comissões decorrentes deverão ser suportadas pelo comprador. Valor referente à unidade 105 T-1 Bloco-B","A partir de
R$ 235.800",Belem,Tatuape,5216,5845
"Apartamento para Venda Com 2 Dormitórios, 1 Vaga",/propriedades/apartamento-para-venda-com-2-dormitorios-1-vaga-2930785535.html,"RUA TRAJANO REIS, Jardim das Vertentes, São Paulo",57 m² área total 57 m² área útil 2 Quartos 2 Banheiros 1 Vaga,Apartamento para venda no Edificio villes de france,R$ 330.000,Butanta,Sao Paulo Morumbi,3247,4326
Flat na Bela Vista Próx Ao Hospital Sírio Libanes,/propriedades/flat-na-bela-vista-prox-ao-hospital-sirio-libanes-2941544433.html,"R BARATA RIBEIRO 448, Consolação, São Paulo",34 m² área total 34 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Localizado na Rua Barata Ribeiro, Bairro Bela Vista, em frente ao Hospital Sírio Libanês, a 100 metros do Hospital 9 de Julho, a 600 metros da Estação Trianon Masp do Metrô e a 5 minutos da Av. Paulista, centro financeiro e principal cartão postal de São Paulo. . Apartamento com 1 dormitório equipado com 1 cama box de casal, armário embutido, ar condicionado, banheiro privativo com box, cozinha pequena completa, saleta com tv à cabo, mesa para refeições e sofá. Internet wi-fi em todo o ambiente e garagem c/ manobrista para 1 automóvel. . O Flat oferece serviço de recepção 24h, ar condicionado, tv à cabo, internet wi-fi, limpeza e arrumação diária do apartamento, estacionamento gratuito com serviço de manobrista, e café da manhã servido no restaurante no piso térreo. . Flat/Condo Hotel com excelente rentabilidade na locação convencional intermediada pela Só Flats ou locação através das Plataformas Digitais, gerando os melhores rendimentos do mercado e valorização do seu imóvel. . A Só Flats é uma empresa especializada em compra e venda de Flats dentro e fora da cidade de São Paulo, para moradia ou investimento. . Não deixe de nos consultar. . Sujeito à confirmação de disponibilidade e valores, sem aviso prévio.",R$ 320.000,Trianon Masp,Trianon Masp,1296,1296
Comfort Nova Paulista,/propriedades/comfort-nova-paulista-2948144998.html,"Rua Vergueiro, 2740 - Vila Mariana, São Paulo - SP, 04102-001, Vila Mariana, São Paulo",33 m² área total 23 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Comfort nova paulista - Vila Mariana - São Paulo/sp - Fora do Pool. Tipo do Imóvel: Flat. Dormitório(s): 1. Suíte(s): 1. Vaga(s): 1. Área Útil: 31m² iptu: R$ 115, 00. Condomínio: R$ 1. 438, 00. Situado no centro de São Paulo, o Comfort Nova Paulista fica a 2 km da Avenida Paulista e a 3 km do Parque e do Ginásio do Ibirapuera. A propriedade dispõe de uma academia moderna e uma piscina ao ar livre. O Wi-Fi está disponível gratuitamente em todos os ambientes. Os quartos do Comfort Nova Paulista oferecem ar-condicionado, internet gratuita, tv a cabo e um frigobar abastecido, além de mesa de trabalho, cofre e banheiro privativo com produtos de banho. Você pode saborear diariamente o buffet de café da manhã servido no restaurante, que inclui uma variedade de frutas da estação, pães e frios, bem como uma seleção de especialidades quentes. Cardápios de almoço e jantar em estilo à la carte ou em buffet estão disponíveis. Além disso, uma grande variedade de pizzas caseiras está disponível todas as noites. Outras comodidades do Comfort Nova Paulista incluem recepção 24 horas e instalações empresariais para até 100 pessoas. Além disso, o estacionamento privativo está disponível no local, por um custo extra. O hotel conta com uma localização excelente, entre as estações de metrô Ana Rosa e Vila Mariana e a 200 metros do Bar Veloso, famoso pelos itens da confeitaria brasileira. Você também estará a uma curta caminhada de uma variedade de bares e restaurantes da Rua Joaquim Távora. Universidades renomadas, como a Unifesp e a espm, ficam nas proximidades do Comfort Nova Paulista. O Aeroporto de Congonhas e o São Paulo Expo ficam a 8 km, e o Aeroporto Internacional de Guarulhos fica a 25 km. A Vila Mariana é uma ótima escolha para viajantes interessados em parques, arte e museus. Fotos com mobília padrão do Hotel*",R$ 275.600,Ana Rosa,Ana Rosa,534,534
Apartamento no Tatuapé - Mirada Tatuapé,/propriedades/apartamento-no-tatuape-mirada-tatuape-2924218989.html,"Rua Santa Catarina, 707 , Tatuapé, São Paulo",2 unidades 2 a 3 quartos 47 a 61 m² área útil,"Apartamentos no Tatuapé - São Paulo, com 2 ou 3 quartos. Pronto para morar! O Tatuapé oferece o melhor da vida urbana: infraestrutura completa, com metrô, shoppings, restaurantes, colégios e parques, além da vantagem de estar perto do que você gosta. Ao lado da unip, próximo a estação de metrô Tatuapé, da Radial Leste e da Celso Garcia. Informações complementares; A intermediação é realizada por Imobiliárias cadastradas, incluindo Evenmob Consultoria de Imóveis Ltda. - creci J-Ver dados, e Evenmob Jardins Consultoria de Imóveis Ltda. - creci J-27137. Qualquer venda estará sujeita ao pagamento do valor correspondente à intermediação imobiliária e as respectivas comissões decorrentes deverão ser suportadas pelo comprador. Valor referente à unidade 43 Torre 2 - Bloco B. O produto possui apartamento decorado ou modelo. Deixe o seu contato para agendar uma visita.","A partir de
R$ 372.500",Carrao,Carrao,1697,1697
Baixouuuu! Lindo Ap na Cohab Educandário,/propriedades/baixouuuu!-lindo-ap-na-cohab-educandario-2940267176.html,"Av. Eiras Garcia 6363, Jardim Raposo Tavares, São Paulo",60 m² área total 49 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"2 dorms, reformado, piso frio claro, arejado, cozinha, banheiro e área de serviço enormes, com garagem coberta (portão automático), andar baixo. Bem pertinho do ponto final dos ônibus e comercio. Localizado no Km 15 da Raposo Tavares. Fácil acesso à usp, Pinheiros, Metrô butantã, shoppings Raposo, Taboão e da Granja, Hipermercado Carrefour, Extra e Wall Mart. Financia. Faça uma simulação de crédito agora se compromisso.",R$ 180.000,Butanta,Butanta,9867,9867
Studio 35 M²c/ Vaga na Saúde A 500 m Metro Prça Da Arvore 41 m² - 1 Dorm.,/propriedades/studio-35-m-sup2-c-vaga-na-saude-a-500-m-metro-prca-2946931152.html,"Rua Caramuru, Saúde, São Paulo",35 m² área total 35 m² área útil 1 Quarto 0 Banheiros 1 Vaga,"Com O metrÔ praça da árvore A apenas 500 metros, você tem acesso fácil A qualquer ponto da cidade. Para explorar A região da paulista, por exemplo, são poucas estações. Isto sem falar que A saúde É um bairro tranquilo E completo. Lazer completo! Cinema, Salão de festas piscina coberta, sala de ginástica, Lavanderia e Office. Studio de 35 m2 com vaga de garagem a partir de 349 mil, localizado em uma rua mais vibrantes da Vila Mariana e próximo de tudo: metrô, ônibus, bares, restaurantes e diversos centro médicos, a 10 minutos da Av Paulista e Parque Ibirapuera. Maiores informações ou agendamentos fale comigo: Corretor Atafin da Abyara - 11. Ver dados - WhatsApp. Creci. 180. 682",R$ 386.369,Praca Da Arvore,Praca Da Arvore,548,548
"Apartamento Com 3 Dormitórios à Venda, 56 m² Por R$174.800 - Itaquera - São Paulo/sp",/propriedades/apartamento-com-3-dormitorios-a-venda-56-m-sup2--por-2947919723.html,"Itaquera, São Paulo",56 m² área total 56 m² área útil 3 Quartos 1 Banheiro 1 Vaga,"Apartamento em Condomínio fechado na Cohab José Bonifácio em Itaquera. Apartamento de 3 dormitórios. O apartamento do grande, a sala ampla foi fechada e revertida no 3º dormitório, sala, cozinha ampla, lavanderia ampla, banheiro e 1 vaga fechada ( vaga comércio) . Ótima localização próximo da Av. Jardim Tamoio, Mercado Negreiros, próximo à avenida principal da região, Avenida Nagib Farah Maluf, com fácil acesso à Av. Jacu Pêssego. Farto comércios, feira livre, escolas, transporte coletivo para o Metrô Corinthians-Itaquera e Shopping Itaquera. Documentação ok para financiamento. - 12/02/2020",R$ 174.800,Corinthians Itaquera,Corinthians Itaquera,3393,3393
Spazio Amarelo Excelente Condominio,/propriedades/spazio-amarelo-excelente-condominio-2948051352.html,"Rua Antonio Ambuba, 110, Vila Prel, São Paulo",79 m² área total 46 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Apto com 2 dormitorios, sala 2 ambientes, cozinha, area de serviço, banheiro 1vaga. Condominio com toda infraeestrutura de um clube, taxa condominial de R$ 310. Use seu fgts",R$ 230.000,Campo Limpo,Campo Limpo,1944,1944
Apartamento na Região Do Bom Retiro,/propriedades/apartamento-na-regiao-do-bom-retiro-2945495947.html,"Bandeirantes , Bom Retiro, São Paulo",120 m² área total 120 m² área útil 2 Quartos 1 Banheiro,Apartamento na região do Bom Retiro. 120 m² 2 dormitórios. Necessita de Reforma. Próximo ao metro Tiradentes e a Av. Tiradentes. Informações de condomínio e iptu sujeitas a alteração. (Ao ligar informe o código do imóvel Ver dados).,R$ 320.000,Portuguesa Tiete,Tiradentes,1823,2261
